Kategori,Subkategori,Deskripsi
Akses,Akses ditolak oleh kebijakan auditor,Pengguna melaporkan akses ditolak oleh kebijakan auditor. Diperlukan investigasi lebih lanjut.
Keamanan,Injeksi DLL mencurigakan,Pengguna melaporkan injeksi dll mencurigakan. Diperlukan investigasi lebih lanjut.
Keamanan,Peringatan SOC mencurigakan,Pengguna melaporkan peringatan soc mencurigakan. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi macet,Pengguna melaporkan aplikasi macet. Diperlukan investigasi lebih lanjut.
Akses,Kegagalan pencatatan akses,Pengguna melaporkan kegagalan pencatatan akses. Diperlukan investigasi lebih lanjut.
Keamanan,Lalu lintas keluar mencurigakan,Pengguna melaporkan lalu lintas keluar mencurigakan. Diperlukan investigasi lebih lanjut.
Keamanan,Percobaan akses tidak sah,Pengguna melaporkan percobaan akses tidak sah. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Kegagalan perangkat periferal,Pengguna melaporkan kegagalan perangkat periferal. Diperlukan investigasi lebih lanjut.
Jaringan,Access point tidak aktif,Pengguna melaporkan access point tidak aktif. Diperlukan investigasi lebih lanjut.
Keamanan,Pembajakan sesi mencurigakan,Pengguna melaporkan pembajakan sesi mencurigakan. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Port pengisian daya laptop longgar,Pengguna melaporkan port pengisian daya laptop longgar. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat mencetak,Pengguna melaporkan aplikasi berhenti mendadak saat mencetak. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh gangguan layanan,Pengguna melaporkan akses ditolak oleh gangguan layanan. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat sinkronisasi,Pengguna melaporkan aplikasi berhenti mendadak saat sinkronisasi. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop berwarna kemerahan,Pengguna melaporkan layar laptop berwarna kemerahan. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop mengalami distorsi warna,Pengguna melaporkan layar laptop mengalami distorsi warna. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Kinerja aplikasi lambat,Pengguna melaporkan kinerja aplikasi lambat. Diperlukan investigasi lebih lanjut.
Akses,Kegagalan login remote desktop,Pengguna melaporkan kegagalan login remote desktop. Diperlukan investigasi lebih lanjut.
Akses,Pelanggaran kepatuhan akses,Pengguna melaporkan pelanggaran kepatuhan akses. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Sambungan kabel longgar,Pengguna melaporkan sambungan kabel longgar. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Kegagalan login alat kolaborasi,Pengguna melaporkan kegagalan login alat kolaborasi. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: kesalahan dual-stack,Pengguna melaporkan jaringan: kesalahan dual-stack. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan mitra,Pengguna melaporkan akses ditolak oleh kebijakan mitra. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Webcam tidak berfungsi dengan baik,Pengguna melaporkan webcam tidak berfungsi dengan baik. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi seluler tidak dapat diinstal,Pengguna melaporkan aplikasi seluler tidak dapat diinstal. Diperlukan investigasi lebih lanjut.
Keamanan,Infeksi spyware,Pengguna melaporkan infeksi spyware. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat pemanggilan API,Pengguna melaporkan aplikasi berhenti mendadak saat pemanggilan api. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Engsel laptop longgar,Pengguna melaporkan engsel laptop longgar. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh switch,Pengguna melaporkan akses ditolak oleh switch. Diperlukan investigasi lebih lanjut.
Jaringan,Konflik IP,Pengguna melaporkan konflik ip. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat menjalankan kueri,Pengguna melaporkan aplikasi berhenti mendadak saat menjalankan kueri. Diperlukan investigasi lebih lanjut.
Jaringan,Firewall memblokir akses,Pengguna melaporkan firewall memblokir akses. Diperlukan investigasi lebih lanjut.
Akses,Hak akses dicabut,Pengguna melaporkan hak akses dicabut. Diperlukan investigasi lebih lanjut.
Keamanan,Server C2 mencurigakan terdeteksi,Pengguna melaporkan server c2 mencurigakan terdeteksi. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Masalah pengisian daya smartphone,Pengguna melaporkan masalah pengisian daya smartphone. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan kata sandi,Pengguna melaporkan akses ditolak oleh kebijakan kata sandi. Diperlukan investigasi lebih lanjut.
Keamanan,Pelanggaran NIST mencurigakan,Pengguna melaporkan pelanggaran nist mencurigakan. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Kegagalan pemanggilan API,Pengguna melaporkan kegagalan pemanggilan api. Diperlukan investigasi lebih lanjut.
Keamanan,Peringatan perangkat IoT mencurigakan,Pengguna melaporkan peringatan perangkat iot mencurigakan. Diperlukan investigasi lebih lanjut.
Perangkat Keras,SSD tidak terdeteksi,Pengguna melaporkan ssd tidak terdeteksi. Diperlukan investigasi lebih lanjut.
Jaringan,Load balancer salah konfigurasi,Pengguna melaporkan load balancer salah konfigurasi. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Port USB tidak berfungsi,Pengguna melaporkan port usb tidak berfungsi. Diperlukan investigasi lebih lanjut.
Keamanan,Rootkit ditemukan,Pengguna melaporkan rootkit ditemukan. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan tamu,Pengguna melaporkan akses ditolak oleh kebijakan tamu. Diperlukan investigasi lebih lanjut.
Jaringan,Kesalahan konfigurasi server proxy,Pengguna melaporkan kesalahan konfigurasi server proxy. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat sinkronisasi cloud,Pengguna melaporkan aplikasi berhenti mendadak saat sinkronisasi cloud. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat ekspor,Pengguna melaporkan aplikasi berhenti mendadak saat ekspor. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: adapter dinonaktifkan,Pengguna melaporkan jaringan: adapter dinonaktifkan. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat membuka dashboard,Pengguna melaporkan aplikasi berhenti mendadak saat membuka dashboard. Diperlukan investigasi lebih lanjut.
Keamanan,Kompromi mitra mencurigakan,Pengguna melaporkan kompromi mitra mencurigakan. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: DDoS terdeteksi,Pengguna melaporkan jaringan: ddos terdeteksi. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh API,Pengguna melaporkan akses ditolak oleh api. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Masalah panas berlebih,Pengguna melaporkan masalah panas berlebih. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: blackhole routing,Pengguna melaporkan jaringan: blackhole routing. Diperlukan investigasi lebih lanjut.
Jaringan,Access point salah konfigurasi,Pengguna melaporkan access point salah konfigurasi. Diperlukan investigasi lebih lanjut.
Keamanan,Lalu lintas beaconing mencurigakan,Pengguna melaporkan lalu lintas beaconing mencurigakan. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan ISO,Pengguna melaporkan akses ditolak oleh kebijakan iso. Diperlukan investigasi lebih lanjut.
Keamanan,Peringatan malware,Pengguna melaporkan peringatan malware. Diperlukan investigasi lebih lanjut.
