Kategori,Subkategori,Deskripsi
Akses,Akses ditolak oleh API,"Saat mencoba menggunakan layanan kerja, pengguna menemui Akses ditolak oleh API; proses masuk tidak dapat dilanjutkan meskipun sudah dicoba kembali."
Akses,Akses ditolak oleh akses bersyarat,Tiket dibuat setelah pengguna menemukan Akses ditolak oleh akses bersyarat saat hendak menggunakan layanan untuk pekerjaan rutin.
Akses,Akses ditolak oleh aplikasi,Masalah Akses ditolak oleh aplikasi muncul pada saat pengguna mencoba membuka layanan internal dan tetap terjadi setelah percobaan ulang.
Akses,Akses ditolak oleh basis data,Permintaan dukungan dibuat karena Akses ditolak oleh basis data terjadi ketika pengguna mencoba mengakses layanan yang diperlukan.
Akses,Akses ditolak oleh firewall,"Pada saat autentikasi, pengguna mengalami Akses ditolak oleh firewall; percobaan ulang belum memulihkan akses yang dibutuhkan."
Akses,Akses ditolak oleh gangguan layanan,"Ketika mencoba masuk dari perangkat yang biasa digunakan, terjadi Akses ditolak oleh gangguan layanan dan pengguna tidak dapat melanjutkan aktivitas."
Akses,Akses ditolak oleh gateway,"Saat memulai pekerjaan, pengguna mendapati Akses ditolak oleh gateway; sumber daya terkait tidak dapat digunakan seperti biasanya."
Akses,Akses ditolak oleh jendela pemeliharaan,Pengguna meminta bantuan karena Akses ditolak oleh jendela pemeliharaan muncul ketika membuka sumber daya yang sebelumnya dapat digunakan.
Akses,Akses ditolak oleh kebijakan ABAC,Pengguna melaporkan Akses ditolak oleh kebijakan ABAC; kendala tersebut membuat sumber daya yang diperlukan tidak dapat dibuka.
Akses,Akses ditolak oleh kebijakan BYOD,Pengguna tidak dapat menyelesaikan proses masuk karena mengalami Akses ditolak oleh kebijakan BYOD pada layanan yang dibutuhkan.
Akses,Akses ditolak oleh kebijakan CASB,"Saat mencoba menggunakan layanan kerja, pengguna menemui Akses ditolak oleh kebijakan CASB; proses masuk tidak dapat dilanjutkan meskipun sudah dicoba kembali."
Akses,Akses ditolak oleh kebijakan CIS,Tiket dibuat setelah pengguna menemukan Akses ditolak oleh kebijakan CIS saat hendak menggunakan layanan untuk pekerjaan rutin.
Akses,Akses ditolak oleh kebijakan DLP,Masalah Akses ditolak oleh kebijakan DLP muncul pada saat pengguna mencoba membuka layanan internal dan tetap terjadi setelah percobaan ulang.
Akses,Akses ditolak oleh kebijakan GDPR,Permintaan dukungan dibuat karena Akses ditolak oleh kebijakan GDPR terjadi ketika pengguna mencoba mengakses layanan yang diperlukan.
Akses,Akses ditolak oleh kebijakan HIPAA,"Pada saat autentikasi, pengguna mengalami Akses ditolak oleh kebijakan HIPAA; percobaan ulang belum memulihkan akses yang dibutuhkan."
Akses,Akses ditolak oleh kebijakan IAM,"Ketika mencoba masuk dari perangkat yang biasa digunakan, terjadi Akses ditolak oleh kebijakan IAM dan pengguna tidak dapat melanjutkan aktivitas."
Akses,Akses ditolak oleh kebijakan ISO,"Saat memulai pekerjaan, pengguna mendapati Akses ditolak oleh kebijakan ISO; sumber daya terkait tidak dapat digunakan seperti biasanya."
Akses,Akses ditolak oleh kebijakan MFA,Pengguna meminta bantuan karena Akses ditolak oleh kebijakan MFA muncul ketika membuka sumber daya yang sebelumnya dapat digunakan.
Akses,Akses ditolak oleh kebijakan NIST,Pengguna melaporkan Akses ditolak oleh kebijakan NIST; kendala tersebut membuat sumber daya yang diperlukan tidak dapat dibuka.
Akses,Akses ditolak oleh kebijakan PCI,Pengguna tidak dapat menyelesaikan proses masuk karena mengalami Akses ditolak oleh kebijakan PCI pada layanan yang dibutuhkan.
Akses,Akses ditolak oleh kebijakan RBAC,"Saat mencoba menggunakan layanan kerja, pengguna menemui Akses ditolak oleh kebijakan RBAC; proses masuk tidak dapat dilanjutkan meskipun sudah dicoba kembali."
